iputils 20250605-1
iso-codes 4.19.0-1
isoimagewriter 25.12.0-1
ispc 1.28.2-2
iw 6.17-1
jack2 1.9.22-1
jamesdsp 2.7.0-4
jan-bin 0.7.5-1
jansson 2.14.1-1
jasper 4.2.8-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 25.0.1.u8-1
jdk17-openjdk 17.0.17.u10-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jp2a 1.3.2-1
jq 1.8.1-1
js140 140.6.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.0-1
kaccounts-providers 25.12.0-1
kactivitymanagerd 6.5.4-1
kamera 25.12.0-1
karchive 6.20.0-1
karchive5 5.116.0-2
kate 25.12.0-1
kauth 6.20.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.20.0-1
kcalc 25.12.0-1
kcmutils 6.20.0-1
kcodecs 6.20.0-1
kcodecs5 5.116.0-2
kcolorpicker 0.3.1-5
kcolorscheme 6.20.0-1
kcompletion 6.20.0-1
kconfig 6.20.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.20.0-1
kconfigwidgets5 5.116.0-3
kcontacts 1:6.20.0-1
kcoreaddons 6.20.0-1
kcoreaddons5 5.116.0-2
kcrash 6.20.0-1
kcrash5 5.116.0-2
kdbusaddons 6.20.0-1
kddockwidgets 2.4.0-1
kde-cli-tools 6.5.4-1
kde-gtk-config 6.5.4-1
kdeclarative 6.20.0-1
kdeconnect 25.12.0-1
kdecoration 6.5.4-1
kded 6.20.0-1
kdegraphics-mobipocket 25.12.0-1
kdegraphics-thumbnailers 25.12.0-1
kdenetwork-filesharing 25.12.0-1
kdenlive 25.12.0-1
kdeplasma-addons 6.5.4-1
kdesu 6.20.0-1
kdf 25.12.0-1
kdialog 25.12.0-1
kdiskmark 3.2.0-1
kdnssd 6.20.0-1
kdoctools 6.20.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
keditbookmarks 25.12.0-1
keyutils 1.6.3-3
kfilemetadata 6.20.0-1
kfind 25.12.0-1
kgamma 6.5.4-1
kglobalaccel 6.20.0-1
kglobalaccel5 5.116.0-2
kglobalacceld 6.5.4-1
kguiaddons 6.20.0-1
kguiaddons5 5.116.0-2
khelpcenter 25.12.0-1
kholidays 1:6.20.0-1
ki18n 6.20.0-1
ki18n5 5.116.0-2
kiconthemes 6.20.0-1
kiconthemes5 5.116.0-2
kidletime 6.20.0-1
kimageannotator 0.7.2-1
kimageformats 6.20.0-1
kinfocenter 6.5.4-1
kio 6.20.0-1
kio-admin 25.12.0-1
kio-extras 25.12.0-1
kio-fuse 5.1.1-1
kirigami 6.20.0-1
kirigami-addons 1.10.0-1
kirigami2 5.116.0-2
kitemmodels 6.20.0-1
kitemmodels5 5.116.0-2
kitemviews 6.20.0-1
kitemviews5 5.116.0-2
kjobwidgets 6.20.0-1
kmenuedit 6.5.4-1
kmod 34.2-1
knewstuff 6.20.0-1
knighttime 6.5.4-1
knotifications 6.20.0-1
knotifications5 5.116.0-3
knotifyconfig 6.20.0-1
kolourpaint 25.12.0-1
kompare 25.12.0-1
konsole 25.12.0-1
kpackage 6.20.0-1
kparts 6.20.0-1
kpeople 6.20.0-1
kpipewire 6.5.4-1
kpty 6.20.0-1
kquickcharts 6.20.0-1
krb5 1.21.3-2
krdc 25.12.0-1
krunner 6.20.0-1
ksanecore 25.12.0-1
kscreen 6.5.4-1
kscreenlocker 6.5.4-1
kservice 6.20.0-1
ksshaskpass 6.5.4-1
kstatusnotifieritem 6.20.0-1
ksvg 6.20.0-1
ksystemlog 25.12.0-1
ksystemstats 6.5.4-1
ktexteditor 6.20.0-1
ktexttemplate 6.20.0-1
ktextwidgets 6.20.0-1
kunitconversion 6.20.0-1
kuserfeedback 6.20.0-1
kwallet 6.20.0-1
kwallet-pam 6.5.4-1
kwalletmanager 25.12.0-1
kwayland 6.5.4-1
kwayland-integration 6.5.4-1
kwayland5 5.116.0-2
kwidgetsaddons 6.20.0-1
kwidgetsaddons5 5.116.0-2
kwin 6.5.4-3
kwindowsystem 6.20.0-1
kwindowsystem5 5.116.0-2
kwrited 6.5.4-1
kxmlgui 6.20.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
lact 0.8.3-1
lame 3.100-6
lapack 3.12.1-2
layer-shell-qt 6.5.4-1
lcms2 2.17-1
ldb 2:4.23.3-2
leancrypto 1.6.0-1
lensfun 1:0.3.4-5
less 1:685-1
level-zero-loader 1.25.2-1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-2
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.58.2-1
lib32-attr 2.5.2-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-clang 21.1.6-1
lib32-colord 1.4.8-1
lib32-curl 8.17.0-1
lib32-dbus 1.16.2-1
lib32-directx-headers 1.618.2-1
lib32-e2fsprogs 1.47.3-2
lib32-expat 2.7.3-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
